TimeCreated,EventID,TargetUserName,LogonType,IpAddress,WorkstationName,SubStatus,Info
2026-11-15 02:14:00,4625,admin,10,45.134.26.13,-,0xC0000064,Failed logon - unknown user name
2026-11-15 02:14:03,4625,backup,10,45.134.26.13,-,0xC0000064,Failed logon - unknown user name
2026-11-15 02:14:04,4625,sql,10,45.134.26.13,-,0xC0000064,Failed logon - unknown user name
2026-11-15 02:14:06,4625,helpdesk,10,45.134.26.13,-,0xC0000064,Failed logon - unknown user name
2026-11-15 02:14:09,4625,guest,10,45.134.26.13,-,0xC0000064,Failed logon - unknown user name
2026-11-15 02:14:11,4625,test,10,45.134.26.13,-,0xC0000064,Failed logon - unknown user name
2026-11-15 02:14:12,4625,operator,10,45.134.26.13,-,0xC0000064,Failed logon - unknown user name
2026-11-15 02:14:15,4625,root,10,45.134.26.13,-,0xC0000064,Failed logon - unknown user name
2026-11-15 02:14:17,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:18,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:19,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:21,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:22,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:25,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:27,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:30,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:33,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:36,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:37,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:40,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:42,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:43,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:46,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:47,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:49,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:51,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:53,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:54,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:56,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:58,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:14:59,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:01,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:02,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:05,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:06,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:07,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:09,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:10,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:12,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:15,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:17,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:20,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:21,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:23,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:25,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:28,4625,Administrator,10,45.134.26.13,-,0xC000006A,Failed logon - bad password
2026-11-15 02:15:31,4624,Administrator,10,45.134.26.13,-,,Successful RDP logon
2026-11-15 02:15:33,4672,Administrator,,45.134.26.13,-,,Special privileges assigned to new logon
2026-11-15 02:15:41,4720,helpdesk_svc,,45.134.26.13,-,,A user account was created
2026-11-15 02:15:45,4732,helpdesk_svc,,45.134.26.13,-,,Member added to security-enabled local group: Administrators
2026-11-15 02:15:51,4724,helpdesk_svc,,45.134.26.13,-,,Password reset attempt
2026-11-15 02:16:11,1102,Administrator,,45.134.26.13,-,,The audit log was cleared
2026-11-15 09:12:04,4624,jmiller,2,10.10.5.22,HR-PC-07,,Successful interactive logon
2026-11-15 09:12:04,4672,jmiller,,10.10.5.22,HR-PC-07,,Special privileges assigned
2026-11-15 13:40:55,4624,jmiller,10,10.10.5.22,HR-PC-07,,Successful RDP logon (internal)
